Gender,Age,Construction_type,New_construction,Elevator,Floors_in_the_building,Floor_area,Number_of_rooms,Number_of_bathrooms,Ceiling_height,Floor,Balcony,Furniture,Renovation,Children_are_welcome,Pets_allowed,Utility_payments,Address,Price,Duration,amenities,appliances,parking
1,60,4,0.0,0.0,5.0,41.0,2.0,1.0,2.7,5.0,Open balcony,,Major Renovation,11.0,11.0,10.0,319,20000.0,0,6,186,3
0,51,4,0.0,0.0,5.0,76.0,4.0,1.0,2.7,4.0,Open balcony,,Euro Renovation,11.0,11.0,10.0,357,270000.0,1,6,186,3
1,20,4,0.0,0.0,5.0,78.0,3.0,1.0,2.7,3.0,Closed balcony,Available,Major Renovation,11.0,11.0,10.0,357,160000.0,1,6,186,3
0,43,4,1.0,1.0,12.0,40.0,1.0,1.0,2.5,9.0,Open balcony,,Euro Renovation,0.0,0.0,0.0,234,20000.0,0,6,186,3
0,61,0,0.0,0.0,4.0,100.0,3.0,1.0,2.6,3.0,Open balcony,,Cosmetic Renovation,11.0,11.0,10.0,31,200000.0,1,6,186,3
1,32,4,0.0,0.0,5.0,70.0,3.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,2384,120000.0,1,6,186,3
1,52,2,1.0,1.0,18.0,55.0,2.0,1.0,3.0,16.0,Open balcony,,Designer Renovation,10.0,10.0,10.0,291,1000.0,1,6,186,3
0,32,3,0.0,1.0,9.0,70.0,2.0,1.0,2.8,8.0,Closed balcony,,Major Renovation,11.0,10.0,10.0,2217,1200.0,1,6,186,3
1,18,2,1.0,1.0,16.0,96.0,3.0,2.0,3.0,9.0,Open balcony,,Designer Renovation,0.0,0.0,0.0,311,2200.0,1,6,186,3
1,59,2,1.0,1.0,15.0,85.0,3.0,1.0,2.8,7.0,Open balcony,Available,Major Renovation,11.0,10.0,10.0,311,1300.0,1,6,186,3
1,66,3,0.0,1.0,10.0,50.0,2.0,1.0,2.8,2.0,Open balcony,,Major Renovation,0.0,0.0,0.0,1024,900.0,1,6,186,3
0,47,3,0.0,1.0,11.0,55.0,2.0,1.0,2.7,7.0,Not available,,Major Renovation,0.0,0.0,0.0,2738,300000.0,1,6,186,3
1,37,9,0.0,1.0,14.0,80.0,3.0,1.0,2.8,7.0,0,1,euro_renovation,1.0,2.0,1.0,1256,16000.0,0,6,186,3
0,53,2,1.0,1.0,12.0,60.0,2.0,1.0,2.7,10.0,Not available,,Major Renovation,11.0,10.0,12.0,1494,25000.0,0,6,186,3
0,38,4,0.0,0.0,5.0,70.0,2.0,1.0,2.8,2.0,Not available,,Major Renovation,0.0,0.0,0.0,2733,1000.0,1,6,186,3
1,56,3,0.0,1.0,9.0,96.0,3.0,1.0,2.75,7.0,Closed balcony,,Old Renovation,11.0,10.0,12.0,2695,180000.0,1,6,186,3
0,38,2,1.0,1.0,14.0,60.0,2.0,1.0,3.0,11.0,Open balcony,,Designer Renovation,11.0,11.0,10.0,1348,1100.0,1,6,186,3
0,38,2,1.0,1.0,8.0,120.0,4.0,1.0,3.0,7.0,Not available,,Major Renovation,0.0,0.0,0.0,2412,2000.0,1,6,186,3
1,60,3,0.0,1.0,9.0,75.0,3.0,1.0,2.7,8.0,Not available,,Euro Renovation,0.0,0.0,0.0,2412,850.0,1,6,186,3
1,33,9,0.0,0.0,5.0,55.0,2.0,1.0,2.7,3.0,0,1,cosmetic_renovation,1.0,2.0,1.0,131,9000.0,0,6,186,3
0,64,3,0.0,1.0,15.0,55.0,2.0,1.0,3.0,4.0,Open balcony,,Designer Renovation,11.0,10.0,11.0,2738,20000.0,0,6,186,3
1,53,2,1.0,1.0,7.0,84.0,3.0,1.0,3.0,4.0,Open balcony,Available,Major Renovation,11.0,10.0,10.0,2733,800000.0,1,6,186,3
1,24,3,0.0,1.0,9.0,49.0,2.0,1.0,2.8,6.0,Not available,Available,Old Renovation,11.0,10.0,12.0,2163,12000.0,0,6,186,3
0,18,9,0.0,0.0,5.0,120.0,3.0,1.0,3.0,1.0,0,0,major_renovation,1.0,0.0,0.0,1348,1500.0,1,6,186,3
1,23,4,0.0,0.0,5.0,35.0,1.0,1.0,3.0,2.0,Not available,Available,Euro Renovation,11.0,10.0,10.0,2163,1200.0,1,6,186,3
0,40,2,1.0,1.0,12.0,50.0,2.0,1.0,3.0,12.0,Open balcony,Available,Major Renovation,11.0,10.0,10.0,2732,500000.0,1,6,186,3
